2121;3000
2122;3001
2123;3002
2124;30FB
2125;2025
2126;2026
2127;00A8
2128;3003
2129;2013
212A;2014
212B;2016
212C;FF3C
212D;FF5E
212E;2018
212F;2019
2130;201C
2131;201D
2132;3014
2133;3015
2134;3008
2135;3009
2136;300A
2137;300B
2138;300C
2139;300D
213A;300E
213B;300F
213C;3010
213D;3011
213E;00B1
213F;00D7
2140;00F7
2141;2260
2142;2264
2143;2265
2144;221E
2145;2234
2146;00B0
2147;2032
2148;2033
2149;2103
214A;212B
214B;FFE0
214C;FFE1
214D;FFE5
214E;2642
214F;2640
2150;2220
2151;22A5
2152;2312
2153;2202
2154;2207
2155;2261
2156;2252
2157;00A7
2158;203B
2159;2606
215A;2605
215B;25CB
215C;25CF
215D;25CE
215E;25C7
215F;25C6
2160;25A1
2161;25A0
2162;25B3
2163;25B2
2164;25BD
2165;25BC
2166;2192
2167;2190
2168;2191
2169;2193
216A;2194
216B;3013
216C;00AB
216D;00BB
216E;221A
216F;223D
2170;221D
2171;2235
2172;222B
2173;222C
2174;2208
2175;220B
2176;2286
2177;2287
2178;2282
2179;2283
217A;222A
217B;2229
217C;2227
217D;2228
217E;FFE2
2221;21D2
2222;21D4
2223;2200
2224;2203
2225;00B4
2226;02DC
2227;02C7
2228;02D8
2229;02DD
222A;02DA
222B;02D9
222C;00B8
222D;02DB
222E;00A1
222F;00BF
2230;2236
2231;222E
2232;2211
2233;220F
2234;00A4
2235;2109
2236;2030
2237;25C1
2238;25C0
2239;25B7
223A;25B6
223B;2664
223C;2660
223D;2661
223E;2665
223F;2667
2240;2663
2241;25C9
2242;25C8
2243;25A3
2244;25D0
2245;25D1
2246;2592
2247;25A4
2248;25A5
2249;25A8
224A;25A7
224B;25A6
224C;25A9
224D;2668
224E;260F
224F;260E
2250;261C
2251;261E
2252;00B6
2253;2020
2254;2021
2255;2195
2256;2197
2257;2199
2258;2196
2259;2198
225A;266D
225B;2669
225C;266A
225D;266C
225E;327F
225F;321C
2260;2116
2261;33C7
2262;2122
2263;33C2
2264;33D8
2265;2121
2321;FF01
2322;FF02
2323;FF03
2324;FF04
2325;FF05
2326;FF06
2327;FF07
2328;FF08
2329;FF09
232A;FF0A
232B;FF0B
232C;FF0C
232D;FF0D
232E;FF0E
232F;FF0F
2330;FF10
2331;FF11
2332;FF12
2333;FF13
2334;FF14
2335;FF15
2336;FF16
2337;FF17
2338;FF18
2339;FF19
233A;FF1A
233B;FF1B
233C;FF1C
233D;FF1D
233E;FF1E
233F;FF1F
2340;FF20
2341;FF21
2342;FF22
2343;FF23
2344;FF24
2345;FF25
2346;FF26
2347;FF27
2348;FF28
2349;FF29
234A;FF2A
234B;FF2B
234C;FF2C
234D;FF2D
234E;FF2E
234F;FF2F
2350;FF30
2351;FF31
2352;FF32
2353;FF33
2354;FF34
2355;FF35
2356;FF36
2357;FF37
2358;FF38
2359;FF39
235A;FF3A
235B;FF3B
235C;FFE6
235D;FF3D
235E;FF3E
235F;FF3F
2360;FF40
2361;FF41
2362;FF42
2363;FF43
2364;FF44
2365;FF45
2366;FF46
2367;FF47
2368;FF48
2369;FF49
236A;FF4A
236B;FF4B
236C;FF4C
236D;FF4D
236E;FF4E
236F;FF4F
2370;FF50
2371;FF51
2372;FF52
2373;FF53
2374;FF54
2375;FF55
2376;FF56
2377;FF57
2378;FF58
2379;FF59
237A;FF5A
237B;FF5B
237C;FF5C
237D;FF5D
237E;FFE3
2421;3131
2422;3132
2423;3133
2424;3134
2425;3135
2426;3136
2427;3137
2428;3138
2429;3139
242A;313A
242B;313B
242C;313C
242D;313D
242E;313E
242F;313F
2430;3140
2431;3141
2432;3142
2433;3143
2434;3144
2435;3145
2436;3146
2437;3147
2438;3148
2439;3149
243A;314A
243B;314B
243C;314C
243D;314D
243E;314E
243F;314F
2440;3150
2441;3151
2442;3152
2443;3153
2444;3154
2445;3155
2446;3156
2447;3157
2448;3158
2449;3159
244A;315A
244B;315B
244C;315C
244D;315D
244E;315E
244F;315F
2450;3160
2451;3161
2452;3162
2453;3163
2454;3164
2455;3165
2456;3166
2457;3167
2458;3168
2459;3169
245A;316A
245B;316B
245C;316C
245D;316D
245E;316E
245F;316F
2460;3170
2461;3171
2462;3172
2463;3173
2464;3174
2465;3175
2466;3176
2467;3177
2468;3178
2469;3179
246A;317A
246B;317B
246C;317C
246D;317D
246E;317E
246F;317F
2470;3180
2471;3181
2472;3182
2473;3183
2474;3184
2475;3185
2476;3186
2477;3187
2478;3188
2479;3189
247A;318A
247B;318B
247C;318C
247D;318D
247E;318E
2521;2170
2522;2171
2523;2172
2524;2173
2525;2174
2526;2175
2527;2176
2528;2177
2529;2178
252A;2179
2530;2160
2531;2161
2532;2162
2533;2163
2534;2164
2535;2165
2536;2166
2537;2167
2538;2168
2539;2169
2541;0391
2542;0392
2543;0393
2544;0394
2545;0395
2546;0396
2547;0397
2548;0398
2549;0399
254A;039A
254B;039B
254C;039C
254D;039D
254E;039E
254F;039F
2550;03A0
2551;03A1
2552;03A3
2553;03A4
2554;03A5
2555;03A6
2556;03A7
2557;03A8
2558;03A9
2561;03B1
2562;03B2
2563;03B3
2564;03B4
2565;03B5
2566;03B6
2567;03B7
2568;03B8
2569;03B9
256A;03BA
256B;03BB
256C;03BC
256D;03BD
256E;03BE
256F;03BF
2570;03C0
2571;03C1
2572;03C3
2573;03C4
2574;03C5
2575;03C6
2576;03C7
2577;03C8
2578;03C9
2621;2500
2622;2502
2623;250C
2624;2510
2625;2518
2626;2514
2627;251C
2628;252C
2629;2524
262A;2534
262B;253C
262C;2501
262D;2503
262E;250F
262F;2513
2630;251B
2631;2517
2632;2523
2633;2533
2634;252B
2635;253B
2636;254B
2637;2520
2638;252F
2639;2528
263A;2537
263B;253F
263C;251D
263D;2530
263E;2525
263F;2538
2640;2542
2641;2512
2642;2511
2643;251A
2644;2519
